Port Name,State,Port Code,Border,Date,Measure,Value
Hansboro,ND,3415,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,154
Sault Sainte Marie,MI,3803,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,3141
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Dunseith,ND,3422,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,768
Highgate Springs-Alburg,VT,212,US-Canada Border,01/01/1996 12:00:00 AM,Buses,281
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Neche,ND,3404,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,95
Morgan,MT,3319,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,142
El Paso,TX,2402,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,21460
Beecher Falls,VT,206,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,205
Progreso,TX,2309,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,228542
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Fort Fairfield,ME,107,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Piegan,MT,3316,US-Canada Border,01/01/1996 12:00:00 AM,Buses,1
Opheim,MT,3317,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,336
Blaine,WA,3004,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,4171
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,1711
Andrade,CA,2502,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,207565
Douglas,AZ,2601,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,2738
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,804
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,44
International Falls-Ranier,MN,3604,US-Canada Border,01/01/1996 12:00:00 AM,Trains,266
Ambrose,ND,3410,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Alcan,AK,3104,US-Canada Border,01/01/1996 12:00:00 AM,Buses,3
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,289058
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,436
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Norton,VT,211,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,354
Morgan,MT,3319,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,19785
Richford,VT,203,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,10841
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Buses,8
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Trains,110
Roma,TX,2310,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,8026
Whitetail,MT,3312,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,63599
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,1500
Trout River,NY,715,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,38
Sumas,WA,3009,US-Canada Border,01/01/1996 12:00:00 AM,Buses,67
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,6
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,92
Madawaska,ME,109,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,706
Frontier,WA,3020,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
International Falls-Ranier,MN,3604,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,81076
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Boundary,WA,3015,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Portland,ME,101,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Opheim,MT,3317,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,20
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Hidalgo,TX,2305,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,66575
Massena,NY,704,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
International Falls-Ranier,MN,3604,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,798
Sarles,ND,3409,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Buffalo-Niagara Falls,NY,901,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,79055
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,1765548
Skagway,AK,3103,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,331
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,15546
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,916
Blaine,WA,3004,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,292340
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,1481
Whitetail,MT,3312,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,7
Champlain-Rouses Point,NY,712,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,25211
Champlain-Rouses Point,NY,712,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,8869
San Ysidro,CA,2504,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,0
Turner,MT,3306,US-Canada Border,01/01/1996 12:00:00 AM,Buses,2
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,8912
Dunseith,ND,3422,US-Canada Border,01/01/1996 12:00:00 AM,Buses,22
Sasabe,AZ,2606,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Skagway,AK,3103,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,1034
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Ogdensburg,NY,701,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,18404
Columbus,NM,2406,US-Mexico Border,01/01/1996 12:00:00 AM,Buses,1
Boundary,WA,3015,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Blaine,WA,3004,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,2332
Sarles,ND,3409,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,57
Maida,ND,3416,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,100
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,147
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Sherwood,ND,3414,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Trains,22
